gauge	HUC2	Dry	PctFlow	m_90-10	err_1_abs	err_1b	break	err_2_abs	err_2b	m_1	m_2	err_ratio_abs	LAT	LONG
2046000	3	1	99.97653316645807	5.148552026674287	0.271164376337704	-0.2579278692118437	67.98404255319149	0.06076537710422688	-0.00213387022353205	4.277324908287824	7.445423520602237	4.462481585074236	37.06709	-77.60249
2051000	3	1	99.95841995841997	4.267557048852588	0.17067974694607094	-0.09338612535476247	75.96839916839917	0.08923860435790316	0.04312076631651582	3.858900597435056	6.194080319820951	1.91262232499219	36.99737	-78.34971999999998
2051500	3	0	100	3.5703166375055897	0.07937759359805356	0.004305727271837717	76.0	0.06232856077715053	0.04840871938709545	3.4383417747364478	4.1924838477029756	1.2735348387372545	36.71681	-77.83166
2053200	3	1	99.97653316645807	6.219056538598863	0.15886573139688917	-0.15110850505537324	60.98568523153942	0.02936107561842416	0.001628803302973619	5.627434990014203	7.259494434385682	5.410759927923093	36.37083	-77.02556
2053800	3	0	100	2.712744881185375	0.08716773984320013	0.08125446049814045	24.0	0.018925951182507707	0.0016305706090614608	3.8360104706920257	2.4744764228051763	4.6057257044900775	37.14013	-80.26643
2055100	3	0	100	2.9314308842660517	0.07196736904941596	0.04325362349333146	24.0	0.03290415395510142	-0.021858364828409957	3.8499750052334782	2.7365881919396284	2.187181872161713	37.41763	-79.93531999999998
2056900	3	0	100	2.4670411211916776	0.05696677426000631	0.0024272564578742516	13.0	0.0463586846783271	-0.025671076996414806	4.316848073599043	2.3949707204485335	1.2288263710518634	37.04514	-79.8442
2059500	3	0	100	2.5308702255896645	0.09349468400054833	0.0827487847802894	19.0	0.028653633732045228	-0.009772402549312305	4.561196280878145	2.2735049509756315	3.2629259128131847	37.1732	-79.52031
2064000	3	0	100	2.5854385687320973	0.08312107859825557	0.0626891528008648	21.0	0.0340672418971892	-0.013897094200036314	3.96050982170282	2.366224311012127	2.439912184529199	37.12681	-78.95974
2065500	3	1	99.99216485152394	2.409064775174291	0.06252277092137853	0.02032460270801765	15.99874637624383	0.04444562327391433	-0.02820567218018516	4.006644829680263	2.2795312572413744	1.4067250342301736	37.07931	-78.76361999999997
2069700	3	0	100	1.9522623293060573	0.057828079240559355	0.036125422899625524	18.0	0.030010694284225543	-0.016651265589972913	3.2551868263930173	1.807492940740839	1.9269157418645726	36.57097	-80.12949
2070000	3	0	100	1.7586420604032829	0.06848597986406563	0.048930143916297276	19.0	0.029944579204209763	-0.013158261162237833	3.121137616293358	1.5859313561355268	2.2870910757175547	36.56819	-79.98725999999998
